dpmb,sex,age,race,educ,polaff,polrig,mmtrust,pref_fox,pref_cnn,pref_bbc,pref_nyt,pref_wsj,pref_npr
3.30,0.00,0.00,0.00,0.00,1.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.88,1.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.88,0.00,0.00,0.00,0.00,1.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2.76,1.00,1.00,0.00,1.00,1.00,5.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.76,0.00,0.00,0.00,0.00,1.00,4.67,0.00,1.00,1.00,0.00,0.00,0.00,0.00
2.70,0.00,0.00,0.00,0.00,1.00,5.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.63,0.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.52,1.00,0.00,0.00,0.00,1.00,4.67,0.00,0.00,1.00,0.00,0.00,0.00,0.00
2.28,0.00,0.00,0.00,0.00,1.00,4.83,0.00,1.00,0.00,0.00,0.00,1.00,0.00
2.25,1.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.22,0.00,1.00,0.00,0.00,1.00,4.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00
2.16,1.00,1.00,0.00,0.00,1.00,4.83,0.00,1.00,0.00,0.00,0.00,0.00,0.00
3.00,1.00,0.00,0.00,0.00,1.00,5.50,1.00,0.00,1.00,0.00,1.00,1.00,0.00
1.88,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.75,0.00,1.00,0.00,1.00,1.00,4.17,0.00,1.00,0.00,1.00,0.00,1.00,0.00
1.38,1.00,0.00,0.00,0.00,1.00,3.83,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.38,1.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,1.00,0.00,1.00,0.00
1.38,0.00,1.00,0.00,0.00,1.00,2.33,0.00,1.00,0.00,1.00,0.00,0.00,0.00
1.25,1.00,1.00,0.00,1.00,1.00,3.67,0.00,1.00,0.00,0.00,1.00,0.00,0.00
1.25,0.00,1.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,1.00,0.00,0.00,0.00
1.25,0.00,1.00,0.00,0.00,1.00,2.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00
1.25,0.00,1.00,0.00,1.00,1.00,2.17,0.00,0.00,0.00,0.00,1.00,1.00,0.00
3.00,1.00,0.00,0.00,0.00,1.00,5.83,1.00,1.00,1.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,1.00,3.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0.88,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0.88,1.00,1.00,0.00,1.00,1.00,3.17,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.75,1.00,0.00,0.00,0.00,1.00,3.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00
0.75,0.00,0.00,0.00,0.00,1.00,3.33,0.00,1.00,0.00,0.00,1.00,1.00,0.00
0.75,0.00,0.00,0.00,0.00,1.00,2.67,0.00,1.00,0.00,0.00,0.00,0.00,0.00
1.00,1.00,1.00,0.00,1.00,1.00,4.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
