Year,Sex,Race,Ideology,Political,Happymar,Happy,Opinion of family income,DStand,DPStand
2000,0,1,3,1,3,2,0,-0.35,-1.93
2000,1,1,3,2,3,2,5,-1.25,-0.38
2000,1,1,7,7,2,3,4,1.06,0.91
2000,0,1,3,2,3,3,4,-0.10,0.78
2000,1,1,6,5,3,2,4,0.15,0.95
2000,1,1,4,1,2,2,3,-1.15,-1.43
2000,1,1,6,7,3,3,4,0.60,-0.87
2000,1,2,4,1,2,2,3,-0.85,-0.18
2000,1,1,5,2,2,2,2,2.01,-0.54
2000,0,2,4,4,3,3,3,-2.36,1.08
2000,1,1,4,3,2,2,5,-0.65,-1.86
2000,0,1,4,7,3,3,4,1.06,1.77
2000,0,2,6,2,2,2,3,0.55,-0.28
2000,1,1,2,3,2,3,3,-0.45,1.24
2000,0,1,4,3,3,2,3,-2.41,-0.54
2000,0,1,5,4,3,3,4,0.15,2.00
2000,1,1,6,7,3,3,4,0.30,-0.14
2000,0,1,4,5,3,3,4,-0.10,0.88
2000,0,1,4,6,3,3,4,-1.20,0.29
2000,1,1,5,7,3,2,4,-0.65,1.28
2000,0,1,7,7,3,2,4,1.11,-1.60
2000,1,1,2,1,3,3,4,-0.10,-0.67
2000,0,1,4,6,2,2,4,-1.80,-0.24
2000,1,3,4,2,2,2,2,-0.95,-0.51
2000,0,1,6,6,2,3,2,1.36,2.00
2000,0,3,5,6,3,2,3,0.45,-0.44
2000,0,1,3,1,3,3,3,-3.61,0.22
2000,1,2,4,1,3,2,1,-0.10,-0.80
2000,0,2,0,1,2,2,3,2.31,-0.67
2000,0,1,6,6,3,2,3,0.35,1.61
2000,1,2,4,3,1,1,3,-0.65,-0.61
2000,0,2,4,1,2,2,3,-1.30,-0.94
2000,1,1,5,4,3,3,2,2.36,1.01
2000,0,1,0,4,2,3,4,-0.25,-0.34
2000,1,1,3,2,3,3,3,-0.10,0.12
2000,1,1,5,6,2,2,4,0.81,-1.86
2000,0,1,3,4,2,2,4,-3.26,0.78
2000,1,3,4,2,3,3,3,0.71,-0.38
2000,0,1,2,7,3,1,3,0.30,-0.67
2000,1,1,4,1,3,2,3,0.81,1.11
2000,1,1,4,5,3,3,3,1.51,0.38
2000,1,2,4,1,2,2,3,-0.30,-0.38
2000,0,3,4,2,2,2,3,-1.25,-1.76
2000,0,1,5,5,2,3,3,-0.05,0.78
2000,1,1,2,2,1,1,1,-0.10,1.24
2000,1,1,1,4,3,3,1,-0.10,-0.38
