Year,Sex,Race,Ideology,Political,Prestige,Sprestige,Mprestige,Dprestige,Socpos,Happymar,Happy,Opinion of family income
2000,Female,White,Slightly liberal,Strong democrat,38,43,47,0,7,Very happy,Pretty happy,Average
2000,Male,White,Slightly liberal,Not str democrat,46,69,39,39,9,Very happy,Pretty happy,Far above average
2000,Male,White,Extrmly conservative,Strong republican,60,37,0,39,3,Pretty happy,Very happy,Above average
2000,Female,White,Slightly liberal,Not str democrat,59,59,0,35,3,Very happy,Very happy,Above average
2000,Male,White,Conservative,"Ind,near rep",65,60,0,40,8,Very happy,Pretty happy,Above average
2000,Male,White,Moderate,Strong democrat,24,45,32,0,5,Pretty happy,Pretty happy,Average
2000,Male,White,Conservative,Strong republican,60,46,61,46,7,Very happy,Very happy,Above average
2000,Male,Black,Moderate,Strong democrat,32,47,24,30,5,Pretty happy,Pretty happy,Average
2000,Male,White,Slghtly conservative,Not str democrat,42,0,32,27,3,Pretty happy,Pretty happy,Below average
2000,Female,Black,Moderate,Independent,0,45,0,44,5,Very happy,Very happy,Average
2000,Male,White,Moderate,"Ind,near dem",50,61,45,0,10,Pretty happy,Pretty happy,Far above average
2000,Female,White,Moderate,Strong republican,64,41,0,65,2,Very happy,Very happy,Above average
2000,Female,Black,Conservative,Not str democrat,48,35,25,28,5,Pretty happy,Pretty happy,Average
2000,Male,White,Liberal,"Ind,near dem",31,38,0,49,5,Pretty happy,Very happy,Average
2000,Female,White,Moderate,"Ind,near dem",17,63,61,56,5,Very happy,Pretty happy,Average
2000,Female,White,Slghtly conservative,Independent,55,50,0,72,5,Very happy,Very happy,Above average
2000,Male,White,Conservative,Strong republican,46,38,37,44,4,Very happy,Very happy,Above average
2000,Female,White,Moderate,"Ind,near rep",48,48,0,38,5,Very happy,Very happy,Above average
2000,Female,White,Moderate,Not str republican,47,69,31,51,7,Very happy,Very happy,Above average
2000,Male,White,Slghtly conservative,Strong republican,53,64,0,50,6,Very happy,Pretty happy,Above average
2000,Female,White,Extrmly conservative,Strong republican,62,38,64,27,2,Very happy,Pretty happy,Above average
2000,Male,White,Liberal,Strong democrat,59,59,47,38,3,Very happy,Very happy,Above average
2000,Female,White,Moderate,Not str republican,38,72,40,44,7,Pretty happy,Pretty happy,Above average
2000,Male,Other,Moderate,Not str democrat,28,45,64,60,3,Pretty happy,Pretty happy,Below average
2000,Female,White,Conservative,Not str republican,61,32,0,72,5,Pretty happy,Very happy,Below average
2000,Female,Other,Slghtly conservative,Not str republican,61,50,47,45,5,Very happy,Pretty happy,Average
2000,Female,White,Slightly liberal,Strong democrat,0,70,32,50,5,Very happy,Very happy,Average
2000,Male,Black,Moderate,Strong democrat,61,61,48,35,1,Very happy,Pretty happy,Far below average
2000,Female,Black,Moderate,Strong democrat,48,0,69,60,7,Pretty happy,Pretty happy,Average
2000,Female,White,Conservative,Not str republican,48,39,0,60,5,Very happy,Pretty happy,Average
2000,Male,Black,Moderate,"Ind,near dem",48,59,50,43,5,Not too happy,Not too happy,Average
2000,Female,Black,Moderate,Strong democrat,0,24,49,32,5,Pretty happy,Pretty happy,Average
2000,Male,White,Slghtly conservative,Independent,49,0,0,42,3,Very happy,Very happy,Below average
2000,Female,White,Moderate,Independent,35,38,35,36,6,Pretty happy,Very happy,Above average
2000,Male,White,Slightly liberal,Not str democrat,61,61,45,60,5,Very happy,Very happy,Average
2000,Male,White,Slghtly conservative,Not str republican,70,52,45,0,7,Pretty happy,Pretty happy,Above average
2000,Female,White,Slightly liberal,Independent,0,63,0,35,4,Pretty happy,Pretty happy,Above average
2000,Male,Other,Moderate,Not str democrat,63,47,0,0,5,Very happy,Very happy,Average
