id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,crit_acclaim
2771LMNxwf62FTAdpJMQfM,Cardi B,Bodak Yellow,70,0.0672,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,0.929,223962,0.723,0.0,11,0.34600000000000003,-5.792000000000001,0,0.109,125.022,4,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM,0.45799999999999996,1
3I4QOvltiKcMu3xmnQjEct,Lorde,Green Light,60,0.0209,https://api.spotify.com/v1/audio-analysis/3I4QOvltiKcMu3xmnQjEct,0.594,234653,0.721,8.55e-06,2,0.0879,-7.812,1,0.0957,128.942,4,https://api.spotify.com/v1/tracks/3I4QOvltiKcMu3xmnQjEct,audio_features,spotify:track:3I4QOvltiKcMu3xmnQjEct,0.253,1
0q75NwOoFiARAVp4EXU4Bs,SZA,Love Galore (feat. Travis Scott),78,0.111,https://api.spotify.com/v1/audio-analysis/0q75NwOoFiARAVp4EXU4Bs,0.795,275080,0.594,0.0,0,0.162,-6.2,1,0.0747,135.002,4,https://api.spotify.com/v1/tracks/0q75NwOoFiARAVp4EXU4Bs,audio_features,spotify:track:0q75NwOoFiARAVp4EXU4Bs,0.409,1
7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,84,0.00264,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,0.732,182707,0.75,0.0,11,0.109,-6.3660000000000005,0,0.231,155.096,4,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,audio_features,spotify:track:7GX5flRQZVHRAGd6B4TmDO,0.401,1
6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,Chanel,84,0.8740000000000001,https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh,0.7759999999999999,210285,0.503,0.0,0,0.11199999999999999,-5.732,0,0.237,110.134,4,https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh,audio_features,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,0.473,1
5mWhSQfWEeBZD9YTd4yyFc,King Krule,Dum Surfer,53,0.0855,https://api.spotify.com/v1/audio-analysis/5mWhSQfWEeBZD9YTd4yyFc,0.6509999999999999,263440,0.9440000000000001,0.145,2,0.11599999999999999,-5.48,1,0.0381,119.98299999999999,4,https://api.spotify.com/v1/tracks/5mWhSQfWEeBZD9YTd4yyFc,audio_features,spotify:track:5mWhSQfWEeBZD9YTd4yyFc,0.6759999999999999,1
0VgkVdmE4gld66l8iyGjgx,Future,Mask Off,81,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281,1
6b3KUNSmJL1qIfi1hF1G6Y,Kelela,Frontline,47,0.24100000000000002,https://api.spotify.com/v1/audio-analysis/6b3KUNSmJL1qIfi1hF1G6Y,0.43799999999999994,339190,0.325,1.11e-06,0,0.0648,-9.206,1,0.0432,141.504,4,https://api.spotify.com/v1/tracks/6b3KUNSmJL1qIfi1hF1G6Y,audio_features,spotify:track:6b3KUNSmJL1qIfi1hF1G6Y,0.142,1
5o4yGlG0PfeVUa6ClIyOxq,Charli XCX,Boys,70,0.0646,https://api.spotify.com/v1/audio-analysis/5o4yGlG0PfeVUa6ClIyOxq,0.867,162586,0.545,0.00028900000000000003,2,0.0505,-5.192,1,0.0625,139.94299999999998,4,https://api.spotify.com/v1/tracks/5o4yGlG0PfeVUa6ClIyOxq,audio_features,spotify:track:5o4yGlG0PfeVUa6ClIyOxq,0.525,1
7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,84,0.00028199999999999997,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.9079999999999999,177000,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.42100000000000004,1
