id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0wdKiSBUT7aZkXUIdJWcwC,Kevin Gates,2 Phones,71,0.157,https://api.spotify.com/v1/audio-analysis/0wdKiSBUT7aZkXUIdJWcwC,0.895,240000,0.681,0.0,7,0.189,-5.267,0,0.358,121.918,4,https://api.spotify.com/v1/tracks/0wdKiSBUT7aZkXUIdJWcwC,audio_features,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,0.554
2EoIt9vdgFRNW03u5IvFsQ,Billy Ray Cyrus,Achy Breaky Heart,67,0.051,https://api.spotify.com/v1/audio-analysis/2EoIt9vdgFRNW03u5IvFsQ,0.8,203373,0.563,0.0,9,0.0797,-10.209,1,0.0303,121.808,4,https://api.spotify.com/v1/tracks/2EoIt9vdgFRNW03u5IvFsQ,audio_features,spotify:track:2EoIt9vdgFRNW03u5IvFsQ,0.961
0ikz6tENMONtK6qGkOrU3c,Wham!,Wake Me up Before You Go-Go,80,0.272,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,0.62,231333,0.574,0.0,0,0.0607,-11.893,1,0.0421,81.548,4,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,audio_features,spotify:track:0ikz6tENMONtK6qGkOrU3c,0.9
2RSOzvKUnfDDrb2nQPfpQU,Aqua,Barbie Girl,63,0.0165,https://api.spotify.com/v1/audio-analysis/2RSOzvKUnfDDrb2nQPfpQU,0.81,197773,0.957,0.284,1,0.248,-6.049,0,0.0364,129.985,4,https://api.spotify.com/v1/tracks/2RSOzvKUnfDDrb2nQPfpQU,audio_features,spotify:track:2RSOzvKUnfDDrb2nQPfpQU,0.962
2ZTCl6wQMDSMfY4s8GHZdj,Miley Cyrus,Butterfly Fly Away,62,0.733,https://api.spotify.com/v1/audio-analysis/2ZTCl6wQMDSMfY4s8GHZdj,0.607,189240,0.281,0.000123,11,0.29,-12.632,1,0.0258,134.978,4,https://api.spotify.com/v1/tracks/2ZTCl6wQMDSMfY4s8GHZdj,audio_features,spotify:track:2ZTCl6wQMDSMfY4s8GHZdj,0.468
1nrsFfACPG4Hnw5AuOpCND,Rico Nasty,Smack A Bitch,72,0.0055,https://api.spotify.com/v1/audio-analysis/1nrsFfACPG4Hnw5AuOpCND,0.703,138353,0.7,0.0,2,0.115,-2.417,1,0.221,169.861,4,https://api.spotify.com/v1/tracks/1nrsFfACPG4Hnw5AuOpCND,audio_features,spotify:track:1nrsFfACPG4Hnw5AuOpCND,0.34
7DTlsMOQjGysXHpwwpHuPl,Rich Gang,Lifestyle,69,0.0152,https://api.spotify.com/v1/audio-analysis/7DTlsMOQjGysXHpwwpHuPl,0.546,269693,0.667,0.0,1,0.0895,-5.236,1,0.274,87.666,4,https://api.spotify.com/v1/tracks/7DTlsMOQjGysXHpwwpHuPl,audio_features,spotify:track:7DTlsMOQjGysXHpwwpHuPl,0.471
6QiLgpruJ1e41hBD4wq5nS,Rae Sremmurd,No Type,42,0.0193,https://api.spotify.com/v1/audio-analysis/6QiLgpruJ1e41hBD4wq5nS,0.897,200120,0.47,4e-05,6,0.0947,-7.938,1,0.14,125.023,4,https://api.spotify.com/v1/tracks/6QiLgpruJ1e41hBD4wq5nS,audio_features,spotify:track:6QiLgpruJ1e41hBD4wq5nS,0.229
19gEmPjfqSZT0ulDRfjl0m,Bobby Shmurda,Hot N*gga,74,0.0505,https://api.spotify.com/v1/audio-analysis/19gEmPjfqSZT0ulDRfjl0m,0.794,194561,0.51,1.81e-06,9,0.0562,-7.314,1,0.42,167.879,4,https://api.spotify.com/v1/tracks/19gEmPjfqSZT0ulDRfjl0m,audio_features,spotify:track:19gEmPjfqSZT0ulDRfjl0m,0.18
4Ae0L30NjQJvsI0h8hKRSm,Edwyn Collins,It's a Steal,7,0.0543,https://api.spotify.com/v1/audio-analysis/4Ae0L30NjQJvsI0h8hKRSm,0.579,319507,0.439,0.00595,9,0.17,-13.144,1,0.0839,90.778,4,https://api.spotify.com/v1/tracks/4Ae0L30NjQJvsI0h8hKRSm,audio_features,spotify:track:4Ae0L30NjQJvsI0h8hKRSm,0.416
